time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-21 00:00:00+00:00,1,1,0,0
2023-02-22 00:00:00+00:00,0,0,12,2
2023-02-23 00:00:00+00:00,0,0,1,1
2023-02-24 00:00:00+00:00,5,4,18,3
2023-02-25 00:00:00+00:00,4,2,27,2
2023-02-26 00:00:00+00:00,1,1,1,1
2023-02-27 00:00:00+00:00,1,1,1,1
2023-02-28 00:00:00+00:00,0,0,2,1
2023-03-01 00:00:00+00:00,1,1,12,2
2023-03-02 00:00:00+00:00,4,3,3,2
2023-03-03 00:00:00+00:00,0,0,9,1
2023-03-04 00:00:00+00:00,0,0,2,1
2023-03-06 00:00:00+00:00,0,0,1,1
2023-03-07 00:00:00+00:00,8,7,61,2
2023-03-08 00:00:00+00:00,1,1,16,4
2023-03-09 00:00:00+00:00,3,3,37,7
2023-03-10 00:00:00+00:00,3,3,3,2
2023-03-11 00:00:00+00:00,5,5,3,1
2023-03-12 00:00:00+00:00,1,1,1,1
2023-03-13 00:00:00+00:00,5,5,13,3
2023-03-14 00:00:00+00:00,4,4,6,2
2023-03-15 00:00:00+00:00,4,4,0,0
2023-03-16 00:00:00+00:00,3,3,1,1
2023-03-17 00:00:00+00:00,2,2,1,1
2023-03-18 00:00:00+00:00,5,5,8,1
2023-03-19 00:00:00+00:00,1,1,0,0
2023-03-20 00:00:00+00:00,4,4,32,4
2023-03-21 00:00:00+00:00,2,2,0,0
2023-03-22 00:00:00+00:00,2,2,0,0
2023-03-23 00:00:00+00:00,2,2,0,0
2023-03-24 00:00:00+00:00,1,1,3,1
2023-03-25 00:00:00+00:00,2,2,0,0
2023-03-26 00:00:00+00:00,1,1,0,0
2023-03-27 00:00:00+00:00,2,2,3,1
2023-03-28 00:00:00+00:00,1,1,0,0
2023-03-29 00:00:00+00:00,3,2,1,1
2023-03-30 00:00:00+00:00,2,2,0,0
2023-03-31 00:00:00+00:00,1,1,0,0
2023-04-01 00:00:00+00:00,2,2,5,2
2023-04-02 00:00:00+00:00,3,3,3,1
2023-04-03 00:00:00+00:00,16,4,0,0
2023-04-04 00:00:00+00:00,1,1,0,0
2023-04-05 00:00:00+00:00,2,2,0,0
2023-04-06 00:00:00+00:00,0,0,1,1
